District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Baksa,'8.5',Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,60,60,0,NA,60,47,47,0,NA,47,31,31,0,NA,31,61,51,10,NA,61,63,63,0,NA,63,39,39,0,NA,39,22,22,0,NA,22,49,47,2,NA,49,42,40,2,NA,42,62,62,0,NA,62,68,68,0,NA,68,58,58,0,NA,58,602,588,14,NA,602
Baksa,'8.6',Number of IUCD Removals,TOTAL,52,52,0,NA,52,56,56,0,NA,56,52,52,0,NA,52,72,72,0,NA,72,71,71,0,NA,71,67,67,0,NA,67,65,65,0,NA,65,36,36,0,NA,36,48,48,0,NA,48,45,45,0,NA,45,49,49,0,NA,49,37,37,0,NA,37,650,650,0,NA,650
Baksa,'8.7',Number of complications following IUCD Insertion,TOTAL,2,2,0,NA,2,5,5,0,NA,5,1,1,0,NA,1,1,1,0,NA,1,4,4,0,NA,4,1,1,0,NA,1,7,7,0,NA,7,1,1,0,NA,1,2,2,0,NA,2,3,3,0,NA,3,2,2,0,NA,2,1,1,0,NA,1,30,30,0,NA,30
Baksa,'8.8',Injectable Contraceptive-Antara Program- First Dose,TOTAL,7,7,0,NA,7,11,11,0,NA,11,10,10,0,NA,10,114,114,0,NA,114,136,136,0,NA,136,63,63,0,NA,63,37,37,0,NA,37,51,51,0,NA,51,27,27,0,NA,27,48,48,0,NA,48,42,42,0,NA,42,39,39,0,NA,39,585,585,0,NA,585
Baksa,'8.9',Injectable Contraceptive-Antara Program- Second Dose,TOTAL,4,4,0,NA,4,6,6,0,NA,6,8,8,0,NA,8,4,4,0,NA,4,5,5,0,NA,5,15,15,0,NA,15,43,43,0,NA,43,35,35,0,NA,35,30,30,0,NA,30,25,25,0,NA,25,13,13,0,NA,13,22,22,0,NA,22,210,210,0,NA,210
Baksa,'8.10',Injectable Contraceptive-Antara Program- Third Dose,TOTAL,3,3,0,NA,3,2,2,0,NA,2,0,0,0,NA,0,2,2,0,NA,2,3,3,0,NA,3,6,6,0,NA,6,0,0,0,NA,0,4,4,0,NA,4,3,3,0,NA,3,9,9,0,NA,9,10,10,0,NA,10,23,23,0,NA,23,65,65,0,NA,65
Baksa,'8.11',Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,1,1,0,NA,1,4,4,0,NA,4,6,6,0,NA,6,3,3,0,NA,3,6,6,0,NA,6,2,2,0,NA,2,4,4,0,NA,4,7,7,0,NA,7,1,1,0,NA,1,3,3,0,NA,3,12,12,0,NA,12,3,3,0,NA,3,52,52,0,NA,52
Baksa,'8.12',Number of Combined Oral Pill cycles distributed,TOTAL,3844,3820,24,NA,3844,3658,3634,24,NA,3658,4050,4024,26,NA,4050,6988,6953,35,NA,6988,6291,6256,35,NA,6291,5256,5224,32,NA,5256,5650,5617,33,NA,5650,5144,5144,0,NA,5144,5315,5315,0,NA,5315,5511,5511,0,NA,5511,5584,5584,0,NA,5584,5440,5440,0,NA,5440,62731,62522,209,NA,62731
Baksa,'8.13',Number of Condom pieces distributed,TOTAL,9174,9151,23,NA,9174,7131,7108,23,NA,7131,7820,7795,25,NA,7820,14597,14565,32,NA,14597,12015,11983,32,NA,12015,8055,8022,33,NA,8055,10542,10517,25,NA,10542,9149,9149,0,NA,9149,9237,9237,0,NA,9237,8635,8635,0,NA,8635,9576,9576,0,NA,9576,7917,7917,0,NA,7917,113848,113655,193,NA,113848
Baksa,'8.14',Number of Centchroman (weekly) pill strips distributed,TOTAL,10,10,0,NA,10,51,51,0,NA,51,72,72,0,NA,72,116,116,0,NA,116,106,106,0,NA,106,122,122,0,NA,122,86,86,0,NA,86,201,201,0,NA,201,105,105,0,NA,105,96,96,0,NA,96,80,80,0,NA,80,32,32,0,NA,32,1077,1077,0,NA,1077
Baksa,'8.15',Number of Emergency Contraceptive Pills (ECP) given,TOTAL,68,68,0,NA,68,51,51,0,NA,51,86,86,0,NA,86,88,88,0,NA,88,82,82,0,NA,82,11,11,0,NA,11,32,32,0,NA,32,38,38,0,NA,38,62,62,0,NA,62,31,31,0,NA,31,50,50,0,NA,50,47,47,0,NA,47,646,646,0,NA,646
Baksa,'8.16',Number of Pregnancy Test Kits (PTK) used,TOTAL,711,711,0,NA,711,737,737,0,NA,737,746,746,0,NA,746,1169,1169,0,NA,1169,920,920,0,NA,920,908,908,0,NA,908,693,693,0,NA,693,811,811,0,NA,811,758,758,0,NA,758,826,826,0,NA,826,879,879,0,NA,879,816,816,0,NA,816,9974,9974,0,NA,9974
Baksa,'8.17.1',Complications following male sterilization,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'8.17.2',Complications following female sterilization,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'8.17.3',Failures following male sterilization,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'8.17.4',Failures following female sterilization,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'8.17.5',Deaths following male sterilization,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'8.17.6',Deaths following female sterilization,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'9.1.1',Child immunisation - Vitamin K1 (Birth Dose),TOTAL,492,492,0,NA,492,340,340,0,NA,340,398,398,0,NA,398,424,424,0,NA,424,651,636,15,NA,651,604,595,9,NA,604,687,674,13,NA,687,698,695,3,NA,698,797,797,0,NA,797,781,781,0,NA,781,613,613,0,NA,613,546,546,0,NA,546,7031,6991,40,NA,7031
Baksa,'9.1.2',Child immunisation - BCG,TOTAL,981,979,2,NA,981,970,968,2,NA,970,825,824,1,NA,825,1141,1139,2,NA,1141,1144,1142,2,NA,1144,1081,1080,1,NA,1081,1370,1367,3,NA,1370,1311,1310,1,NA,1311,1224,1221,3,NA,1224,1293,1291,2,NA,1293,1321,1319,2,NA,1321,959,959,0,NA,959,13620,13599,21,NA,13620
Baksa,'9.1.3',Child immunisation - DPT1,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0
Baksa,'9.1.4',Child immunisation - DPT2,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0
Baksa,'9.1.5',Child immunisation - DPT3,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0
Baksa,'9.1.6',Child immunisation - Pentavalent 1,TOTAL,1155,1154,1,NA,1155,1146,1145,1,NA,1146,1042,1041,1,NA,1042,1050,1049,1,NA,1050,1083,1082,1,NA,1083,1014,1013,1,NA,1014,1266,1265,1,NA,1266,1393,1391,2,NA,1393,1259,1257,2,NA,1259,1366,1365,1,NA,1366,1505,1504,1,NA,1505,1083,1083,0,NA,1083,14362,14349,13,NA,14362
Baksa,'9.1.7',Child immunisation - Pentavalent 2,TOTAL,1229,1228,1,NA,1229,1281,1280,1,NA,1281,1073,1073,0,NA,1073,1144,1143,1,NA,1144,1142,1142,0,NA,1142,1035,1035,0,NA,1035,1063,1062,1,NA,1063,1307,1304,3,NA,1307,1291,1289,2,NA,1291,1320,1319,1,NA,1320,1347,1346,1,NA,1347,1146,1146,0,NA,1146,14378,14367,11,NA,14378
Baksa,'9.1.8',Child immunisation - Pentavalent 3,TOTAL,1180,1180,0,NA,1180,1320,1319,1,NA,1320,1217,1216,1,NA,1217,1243,1242,1,NA,1243,1204,1204,0,NA,1204,1087,1087,0,NA,1087,1103,1102,1,NA,1103,1148,1148,0,NA,1148,1229,1228,1,NA,1229,1304,1304,0,NA,1304,1283,1283,0,NA,1283,1065,1065,0,NA,1065,14383,14378,5,NA,14383
Baksa,'9.1.9',Child immunisation - OPV 0 (Birth Dose),TOTAL,374,374,0,NA,374,349,349,0,NA,349,422,422,0,NA,422,552,552,0,NA,552,626,626,0,NA,626,587,587,0,NA,587,938,938,0,NA,938,707,707,0,NA,707,797,797,0,NA,797,733,733,0,NA,733,557,557,0,NA,557,500,500,0,NA,500,7142,7142,0,NA,7142
Baksa,'9.1.10',Child immunisation - OPV1,TOTAL,1174,1173,1,NA,1174,1148,1147,1,NA,1148,1036,1035,1,NA,1036,1037,1035,2,NA,1037,1081,1080,1,NA,1081,1008,1007,1,NA,1008,1259,1258,1,NA,1259,1393,1391,2,NA,1393,1265,1263,2,NA,1265,1374,1373,1,NA,1374,1514,1512,2,NA,1514,1086,1086,0,NA,1086,14375,14360,15,NA,14375
Baksa,'9.1.11',Child immunisation - OPV2,TOTAL,1312,1311,1,NA,1312,1318,1317,1,NA,1318,1083,1083,0,NA,1083,1155,1154,1,NA,1155,1145,1145,0,NA,1145,1035,1035,0,NA,1035,1073,1072,1,NA,1073,1306,1303,3,NA,1306,1280,1278,2,NA,1280,1305,1304,1,NA,1305,1364,1363,1,NA,1364,1145,1145,0,NA,1145,14521,14510,11,NA,14521
Baksa,'9.1.12',Child immunisation - OPV3,TOTAL,1223,1223,0,NA,1223,1356,1355,1,NA,1356,1230,1229,1,NA,1230,1263,1262,1,NA,1263,1202,1202,0,NA,1202,1087,1087,0,NA,1087,1092,1091,1,NA,1092,1157,1157,0,NA,1157,1238,1237,1,NA,1238,1289,1289,0,NA,1289,1294,1293,1,NA,1294,1067,1067,0,NA,1067,14498,14492,6,NA,14498
Baksa,'9.1.13',Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,308,308,0,NA,308,185,185,0,NA,185,278,278,0,NA,278,501,501,0,NA,501,446,446,0,NA,446,517,517,0,NA,517,557,557,0,NA,557,416,416,0,NA,416,493,493,0,NA,493,477,477,0,NA,477,383,383,0,NA,383,324,324,0,NA,324,4885,4885,0,NA,4885
Baksa,'9.1.14',Child immunisation - Hepatitis-B1,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0
Baksa,'9.1.15',Child immunisation - Hepatitis-B2,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0
Baksa,'9.1.16',Child immunisation - Hepatitis-B3,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0
Baksa,'9.1.17',Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1096,1096,0,NA,1096,924,924,0,NA,924,560,560,0,NA,560,1002,1002,0,NA,1002,988,988,0,NA,988,913,913,0,NA,913,1213,1213,0,NA,1213,1352,1352,0,NA,1352,1216,1216,0,NA,1216,1286,1286,0,NA,1286,1468,1468,0,NA,1468,887,887,0,NA,887,12905,12905,0,NA,12905
Baksa,'9.1.18',Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1117,1117,0,NA,1117,1081,1081,0,NA,1081,727,727,0,NA,727,1202,1202,0,NA,1202,1064,1064,0,NA,1064,986,986,0,NA,986,1045,1045,0,NA,1045,1099,1099,0,NA,1099,1211,1211,0,NA,1211,1234,1234,0,NA,1234,1248,1248,0,NA,1248,883,883,0,NA,883,12897,12897,0,NA,12897
Baksa,'9.1.19',Child immunisation - Rotavirus 1,TOTAL,1097,1097,0,NA,1097,1099,1099,0,NA,1099,1020,1020,0,NA,1020,1022,1021,1,NA,1022,1061,1061,0,NA,1061,972,972,0,NA,972,1156,1156,0,NA,1156,1398,1396,2,NA,1398,1265,1263,2,NA,1265,1341,1340,1,NA,1341,1453,1453,0,NA,1453,1051,1051,0,NA,1051,13935,13929,6,NA,13935
Baksa,'9.1.20',Child immunisation - Rotavirus 2,TOTAL,1192,1192,0,NA,1192,1265,1265,0,NA,1265,1094,1094,0,NA,1094,1146,1145,1,NA,1146,1129,1129,0,NA,1129,1021,1021,0,NA,1021,987,987,0,NA,987,1297,1294,3,NA,1297,1274,1272,2,NA,1274,1280,1279,1,NA,1280,1299,1299,0,NA,1299,1119,1119,0,NA,1119,14103,14096,7,NA,14103
Baksa,'9.1.21',Child immunisation - Rotavirus 3,TOTAL,1119,1119,0,NA,1119,1251,1251,0,NA,1251,1226,1226,0,NA,1226,1256,1255,1,NA,1256,1201,1201,0,NA,1201,1069,1069,0,NA,1069,986,986,0,NA,986,1144,1144,0,NA,1144,1235,1234,1,NA,1235,1263,1263,0,NA,1263,1233,1233,0,NA,1233,1046,1046,0,NA,1046,14029,14027,2,NA,14029
Baksa,'9.2.1',Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,779,778,1,NA,779,993,993,0,NA,993,1128,1128,0,NA,1128,1390,1390,0,NA,1390,1583,1583,0,NA,1583,1331,1331,0,NA,1331,1476,1476,0,NA,1476,1564,1563,1,NA,1564,1187,1187,0,NA,1187,998,998,0,NA,998,1149,1149,0,NA,1149,921,921,0,NA,921,14499,14497,2,NA,14499
Baksa,'9.2.2',Child immunisation (9-11months) - Measles 1st dose,TOTAL,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0
Baksa,'9.2.3',Child immunisation (9-11months) - JE 1st dose,TOTAL,746,745,1,NA,746,928,928,0,NA,928,782,782,0,NA,782,1397,1397,0,NA,1397,1640,1640,0,NA,1640,1428,1428,0,NA,1428,1277,1277,0,NA,1277,1606,1605,1,NA,1606,1189,1189,0,NA,1189,1001,1001,0,NA,1001,1149,1149,0,NA,1149,928,928,0,NA,928,14071,14069,2,NA,14071
Baksa,'9.2.4.a',Children aged between 9 and 11 months fully immunized- Male,TOTAL,408,407,1,NA,408,502,502,0,NA,502,612,612,0,NA,612,753,753,0,NA,753,851,851,0,NA,851,698,698,0,NA,698,768,768,0,NA,768,783,782,1,NA,783,577,577,0,NA,577,513,513,0,NA,513,583,583,0,NA,583,473,473,0,NA,473,7521,7519,2,NA,7521
Baksa,'9.2.4.b',Children aged between 9 and 11 months fully immunized - Female,TOTAL,371,371,0,NA,371,491,491,0,NA,491,521,521,0,NA,521,637,637,0,NA,637,754,754,0,NA,754,633,633,0,NA,633,707,707,0,NA,707,800,800,0,NA,800,610,610,0,NA,610,489,489,0,NA,489,566,566,0,NA,566,448,448,0,NA,448,7027,7027,0,NA,7027
Baksa,'9.3.1',Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,0,0,0,NA,0,2,2,0,NA,2,1,1,0,NA,1,4,4,0,NA,4,8,8,0,NA,8,3,3,0,NA,3,4,4,0,NA,4,12,12,0,NA,12,7,7,0,NA,7,3,3,0,NA,3,0,0,0,NA,0,0,0,0,NA,0,44,44,0,NA,44
Baksa,'9.3.2',Child immunisation - Measles-1st dose,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,1,1,0,NA,1,5,5,0,NA,5,2,2,0,NA,2,0,0,0,NA,0,12,12,0,NA,12,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,20,20,0,NA,20
Baksa,'9.3.3',Child immunisation - JE 1st dose,TOTAL,2,2,0,NA,2,2,2,0,NA,2,1,1,0,NA,1,9,9,0,NA,9,8,8,0,NA,8,3,3,0,NA,3,4,4,0,NA,4,1,1,0,NA,1,7,7,0,NA,7,3,3,0,NA,3,0,0,0,NA,0,0,0,0,NA,0,40,40,0,NA,40
Baksa,'9.4.1',Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,1018,1018,0,NA,1018,1260,1260,0,NA,1260,1163,1163,0,NA,1163,1371,1371,0,NA,1371,1345,1345,0,NA,1345,1126,1126,0,NA,1126,1036,1036,0,NA,1036,1211,1211,0,NA,1211,897,897,0,NA,897,958,958,0,NA,958,1170,1170,0,NA,1170,1079,1079,0,NA,1079,13634,13634,0,NA,13634
Baksa,'9.4.2',Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0,NA,7,0,0,NA,NA,0,0,0,NA,NA,0,13,13,0,NA,13
Baksa,'9.4.3',Child immunisation - DPT 1st Booster,TOTAL,1076,1076,0,NA,1076,1262,1262,0,NA,1262,1183,1183,0,NA,1183,1400,1400,0,NA,1400,1374,1374,0,NA,1374,1170,1170,0,NA,1170,1026,1026,0,NA,1026,1234,1234,0,NA,1234,937,937,0,NA,937,975,975,0,NA,975,1209,1209,0,NA,1209,1103,1103,0,NA,1103,13949,13949,0,NA,13949
Baksa,'9.4.4',Child immunisation - OPV Booster,TOTAL,1098,1098,0,NA,1098,1271,1271,0,NA,1271,1194,1194,0,NA,1194,1401,1401,0,NA,1401,1344,1344,0,NA,1344,1168,1168,0,NA,1168,1017,1017,0,NA,1017,1232,1232,0,NA,1232,938,938,0,NA,938,976,976,0,NA,976,1218,1218,0,NA,1218,1102,1102,0,NA,1102,13959,13959,0,NA,13959
Baksa,'9.4.5',"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,6,6,0,NA,6,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,7,7,0,NA,7,2,2,0,NA,2,0,0,0,NA,0,10,10,0,NA,10,3,3,0,NA,3,2,2,0,NA,2,25,25,0,NA,25,6,6,0,NA,6,61,61,0,NA,61
Baksa,'9.4.6',Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,829,829,0,NA,829,1086,1086,0,NA,1086,757,757,0,NA,757,1228,1228,0,NA,1228,1297,1297,0,NA,1297,1106,1106,0,NA,1106,819,819,0,NA,819,1083,1083,0,NA,1083,891,891,0,NA,891,933,933,0,NA,933,1121,1121,0,NA,1121,1022,1022,0,NA,1022,12172,12172,0,NA,12172
Baksa,'9.5.1',Child immunisation - Typhoid,TOTAL,0,0,0,NA,0,0,0,0,NA,0,5,5,0,NA,5,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,2,2,0,NA,2,14,14,0,NA,14,21,21,0,NA,21
Baksa,'9.5.2',Children more than 5 years received DPT5 (2nd Booster),TOTAL,573,573,0,NA,573,570,570,0,NA,570,534,534,0,NA,534,714,714,0,NA,714,723,723,0,NA,723,750,750,0,NA,750,674,674,0,NA,674,742,742,0,NA,742,735,735,0,NA,735,782,782,0,NA,782,824,824,0,NA,824,667,667,0,NA,667,8288,8288,0,NA,8288
Baksa,'9.5.3',Children more than 10 years received TT10,TOTAL,313,313,0,NA,313,271,271,0,NA,271,261,261,0,NA,261,376,376,0,NA,376,351,351,0,NA,351,332,332,0,NA,332,357,357,0,NA,357,369,369,0,NA,369,343,343,0,NA,343,379,379,0,NA,379,385,385,0,NA,385,277,277,0,NA,277,4014,4014,0,NA,4014
Baksa,'9.5.4',Children more than 16 years received TT16,TOTAL,199,199,0,NA,199,168,168,0,NA,168,180,180,0,NA,180,212,212,0,NA,212,232,232,0,NA,232,206,206,0,NA,206,255,255,0,NA,255,235,235,0,NA,235,202,202,0,NA,202,210,210,0,NA,210,210,210,0,NA,210,178,178,0,NA,178,2487,2487,0,NA,2487
Baksa,'9.6.1',Number of cases of AEFI - Abscess,TOTAL,3,3,0,NA,3,4,4,0,NA,4,4,4,0,NA,4,2,2,0,NA,2,3,3,0,NA,3,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,0,0,0,NA,0,8,8,0,NA,8,1,1,0,NA,1,0,0,0,NA,0,28,28,0,NA,28
Baksa,'9.6.2',Number of cases of AEFI - Death,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,4,4,0,NA,4,0,0,0,NA,0,0,0,0,NA,0,4,4,0,NA,4
Baksa,'9.6.3',Number of cases of AEFI - Others,TOTAL,109,109,0,NA,109,137,137,0,NA,137,115,115,0,NA,115,147,147,0,NA,147,128,128,0,NA,128,143,143,0,NA,143,155,155,0,NA,155,135,135,0,NA,135,137,137,0,NA,137,168,168,0,NA,168,136,136,0,NA,136,124,124,0,NA,124,1634,1634,0,NA,1634
Baksa,'9.7.1',Immunisation sessions planned,TOTAL,809,809,0,NA,809,814,814,0,NA,814,803,803,0,NA,803,809,809,0,NA,809,812,812,0,NA,812,808,808,0,NA,808,814,814,0,NA,814,812,812,0,NA,812,808,808,0,NA,808,809,809,0,NA,809,807,807,0,NA,807,772,772,0,NA,772,9677,9677,0,NA,9677
Baksa,'9.7.2',Immunisation sessions held,TOTAL,809,809,0,NA,809,813,813,0,NA,813,787,787,0,NA,787,804,804,0,NA,804,802,802,0,NA,802,807,807,0,NA,807,814,814,0,NA,814,811,811,0,NA,811,804,804,0,NA,804,799,799,0,NA,799,805,805,0,NA,805,689,689,0,NA,689,9544,9544,0,NA,9544
Baksa,'9.7.3',Number of Immunisation sessions where ASHAs were present,TOTAL,808,808,0,NA,808,811,811,0,NA,811,789,789,0,NA,789,804,804,0,NA,804,802,802,0,NA,802,806,806,0,NA,806,817,817,0,NA,817,811,811,0,NA,811,817,817,0,NA,817,821,821,0,NA,821,818,818,0,NA,818,707,707,0,NA,707,9611,9611,0,NA,9611
Baksa,'9.8.1',Child immunisation - Vitamin A Dose - 1,TOTAL,59,59,0,NA,59,36,36,0,NA,36,31,31,0,NA,31,0,0,0,NA,0,147,147,0,NA,147,5028,5028,0,NA,5028,1476,1476,0,NA,1476,1565,1565,0,NA,1565,1157,1157,0,NA,1157,967,967,0,NA,967,1100,1100,0,NA,1100,915,915,0,NA,915,12481,12481,0,NA,12481
Baksa,'9.8.2',Child immunisation - Vitamin A Dose - 5,TOTAL,19,19,0,NA,19,4,4,0,NA,4,3,3,0,NA,3,0,0,0,NA,0,21,21,0,NA,21,5110,5110,0,NA,5110,364,364,0,NA,364,334,334,0,NA,334,322,322,0,NA,322,244,244,0,NA,244,290,290,0,NA,290,475,475,0,NA,475,7186,7186,0,NA,7186
Baksa,'9.8.3',Child immunisation - Vitamin A Dose - 9,TOTAL,34,34,0,NA,34,19,19,0,NA,19,27,27,0,NA,27,0,0,0,NA,0,50,50,0,NA,50,5583,5583,0,NA,5583,587,587,0,NA,587,594,594,0,NA,594,582,582,0,NA,582,666,666,0,NA,666,633,633,0,NA,633,722,722,0,NA,722,9497,9497,0,NA,9497
Baksa,'9.9',Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,48298,48298,0,NA,48298,49409,49409,0,NA,49409,47037,47037,0,NA,47037,41939,41939,0,NA,41939,42619,42619,0,NA,42619,42582,42582,0,NA,42582,43866,43866,0,NA,43866,40020,40020,0,NA,40020,39657,39657,0,NA,39657,36180,36180,0,NA,36180,37297,37297,0,NA,37297,31998,31998,0,NA,31998,500902,500902,0,NA,500902
Baksa,'9.10',Number of children (12-59 months) provided Albendazole,TOTAL,1074,1074,0,NA,1074,2070,2070,0,NA,2070,2037,2037,0,NA,2037,3011,3011,0,NA,3011,30722,30722,0,NA,30722,34546,34546,0,NA,34546,1970,1970,0,NA,1970,1250,1250,0,NA,1250,1712,1712,0,NA,1712,1303,1303,0,NA,1303,1247,1247,0,NA,1247,1214,1214,0,NA,1214,82156,82156,0,NA,82156
